Region Id,Region Data,Region Name,Region Abbreviation
1,20682000000,Afghanistan,AFG
2,NA,Aland,ALD
3,17210000000,Albania,ALB
4,193056000000,Algeria,DZA
5,NA,American Samoa,ASM
6,2858406626,Andorra,AND
7,96426000000,Angola,AGO
8,337520470,Anguilla,AIA
9,NA,Antarctica,ATA
10,NA,Antigua and Barb.,ATG
11,515353000000,Argentina,ARG
12,13868000000,Armenia,ARM
13,2952000000,Aruba,ABW
14,1481460000000,Australia,AUS
15,481678000000,Austria,AUT
16,47429000000,Azerbaijan,AZE
17,13710000000,Bahamas,BHS
18,40707000000,Bahrain,BHR
19,343279000000,Bangladesh,BGD
20,5339000000,Barbados,BRB
21,63664000000,Belarus,BLR
22,553781000000,Belgium,BEL
23,2071000000,Belize,BLZ
24,12129000000,Benin,BEN
25,6127341000,Bermuda,BMU
26,2939000000,Bhutan,BTN
27,47052000000,Bolivia,BOL
28,NA,Bosnia and Herz.,BIH
29,20873000000,Botswana,BWA
30,NA,Br. Indian Ocean Ter.,IOT
31,2062500000000,Brazil,BRA
32,971237110,British Virgin Is.,VGB
33,14281000000,Brunei,BRN
34,71746000000,Bulgaria,BGR
35,16266000000,Burkina Faso,BFA
36,3714000000,Burundi,BDI
37,2208000000,Cabo Verde,CPV
38,29309000000,Cambodia,KHM
39,42047000000,Cameroon,CMR
40,1832490000000,Canada,CAN
41,3844080626,Cayman Is.,CYM
42,2485000000,Central African Rep.,CAF
43,12547000000,Chad,TCD
44,313561000000,Chile,CHL
45,15468100000000,China,CHN
46,352810000000,Colombia,COL
47,773000000,Comoros,COM
48,11367000000,Congo,COG
49,290194195,Cook Is.,COK
50,63460000000,Costa Rica,CRI
51,49882000000,Cote d'Ivoire,CIV
52,64590000000,Croatia,HRV
53,89688700000,Cuba,CUB
54,3121449966,Curacao,CUW
55,26348000000,Cyprus,CYP
56,259736000000,Czechia,CZE
57,52475000000,Dem. Rep. Congo,COD
58,364546000000,Denmark,DNK
59,2599000000,Djibouti,DJI
60,590000000,Dominica,DMA
