Region Id,Region Data,Region Name,Region Abbreviation
1,NA,Afghanistan,AFG
2,NA,Aland,FI1
3,NA,Albania,ALB
4,NA,Algeria,DZA
5,NA,American Samoa,US1
6,NA,Andorra,AND
7,NA,Angola,AGO
8,NA,Anguilla,GB1
9,NA,Antarctica,ATA
10,NA,Antigua and Barb.,ATG
11,NA,Argentina,ARG
12,NA,Armenia,ARM
13,NA,Aruba,NL1
14,NA,Ashmore and Cartier Is.,AU1
15,NA,Australia,AU1
16,NA,Austria,AUT
17,NA,Azerbaijan,AZE
18,NA,Bahamas,BHS
19,NA,Bahrain,BHR
20,NA,Bangladesh,BGD
21,NA,Barbados,BRB
22,NA,Belarus,BLR
23,NA,Belgium,BEL
24,NA,Belize,BLZ
25,NA,Benin,BEN
26,NA,Bermuda,GB1
27,NA,Bhutan,BTN
28,NA,Bolivia,BOL
29,NA,Bosnia and Herz.,BIH
30,NA,Botswana,BWA
31,NA,Br. Indian Ocean Ter.,GB1
32,NA,Brazil,BRA
33,NA,British Virgin Is.,GB1
34,NA,Brunei,BRN
35,NA,Bulgaria,BGR
36,NA,Burkina Faso,BFA
37,NA,Burundi,BDI
38,NA,Cabo Verde,CPV
39,NA,Cambodia,KHM
40,NA,Cameroon,CMR
41,NA,Canada,CAN
42,NA,Cayman Is.,GB1
43,NA,Central African Rep.,CAF
44,NA,Chad,TCD
45,NA,Chile,CHL
46,NA,China,CH1
47,NA,Colombia,COL
48,NA,Comoros,COM
49,NA,Congo,COG
50,NA,Cook Is.,NZ1
51,NA,Costa Rica,CRI
52,NA,Cote d'Ivoire,CIV
53,NA,Croatia,HRV
54,NA,Cuba,CUB
55,NA,Curacao,NL1
56,NA,Cyprus,CYP
57,NA,Czechia,CZE
58,NA,Dem. Rep. Congo,COD
59,NA,Denmark,DN1
60,NA,Djibouti,DJI
61,NA,Dominica,DMA
62,NA,Dominican Rep.,DOM
63,NA,Ecuador,ECU
64,NA,Egypt,EGY
65,NA,El Salvador,SLV
66,NA,Eq. Guinea,GNQ
67,NA,Eritrea,ERI
68,NA,Estonia,EST
69,NA,eSwatini,SWZ
70,NA,Ethiopia,ETH
71,NA,Faeroe Is.,DN1
72,NA,Falkland Is.,GB1
73,NA,Fiji,FJI
74,NA,Finland,FI1
75,NA,Fr. Polynesia,FR1
76,NA,Fr. S. Antarctic Lands,FR1
77,NA,France,FR1
