Region Id,Region Data,Region Name,Region Abbreviation
1,NA,Aland,ALD
2,20682000000,Afghanistan,AFG
3,17210000000,Albania,ALB
4,1.93056E+11,Algeria,DZA
5,NA,American Samoa,ASM
6,2858406626,Andorra,AND
7,96426000000,Angola,AGO
8,337520470,Anguilla,AIA
9,NA,Antarctica,ATA
10,NA,Antigua and Barb.,ATG
11,5.15353E+11,Argentina,ARG
12,13868000000,Armenia,ARM
13,2952000000,Aruba,ABW
14,NA,Ashmore and Cartier Is.,ATC
15,1.48146E+12,Australia,AUS
16,4.81678E+11,Austria,AUT
17,47429000000,Azerbaijan,AZE
18,13710000000,Bahamas,BHS
19,40707000000,Bahrain,BHR
20,3.43279E+11,Bangladesh,BGD
21,5339000000,Barbados,BRB
22,63664000000,Belarus,BLR
23,5.53781E+11,Belgium,BEL
24,2071000000,Belize,BLZ
25,12129000000,Benin,BEN
26,6127341000,Bermuda,BMU
27,2939000000,Bhutan,BTN
28,47052000000,Bolivia,BOL
29,NA,Bosnia and Herz.,BIH
30,20873000000,Botswana,BWA
31,NA,Br. Indian Ocean Ter.,IOT
32,2.0625E+12,Brazil,BRA
33,971237110,British Virgin Is.,VGB
34,14281000000,Brunei,BRN
35,71746000000,Bulgaria,BGR
36,16266000000,Burkina Faso,BFA
37,3714000000,Burundi,BDI
38,49882000000,Cote dlvoire,CIV
39,2208000000,Cabo Verde,CPV
40,29309000000,Cambodia,KHM
41,42047000000,Cameroon,CMR
42,1.83249E+12,Canada,CAN
43,3844080626,Cayman Is.,CYM
44,2485000000,Central African Rep.,CAF
45,12547000000,Chad,TCD
46,3.13561E+11,Chile,CHL
47,1.54681E+13,China,CHN
48,3.5281E+11,Colombia,COL
49,773000000,Comoros,COM
50,11367000000,Congo,COG
51,290194195,Cook Is.,COK
52,63460000000,Costa Rica,CRI
53,64590000000,Croatia,HRV
54,89688700000,Cuba,CUB
55,3121449966,Curacao,CUW
56,26348000000,Cyprus,CYP
57,2.59736E+11,Czechia,CZE
58,52475000000,Dem. Rep. Congo,COD
59,3.64546E+11,Denmark,DNK
60,2599000000,Djibouti,DJI
61,590000000,Dominica,DMA
62,90459000000,Dominican Rep.,DOM
63,1.0773E+11,Ecuador,ECU
64,3.3136E+11,Egypt,EGY
65,28202000000,El Salvador,SLV
66,12263000000,Eq. Guinea,GNQ
67,8116000000,Eritrea,ERI
68,33235000000,Estonia,EST
69,NA,eSwatini,SWZ
70,99371000000,Ethiopia,ETH
71,NA,Faeroe Is.,FRO
72,NA,Falkland Is.,FLK
73,5671000000,Fiji,FJI
74,2.89243E+11,Finland,FIN
75,5417934152,Fr. Polynesia,PYF
76,NA,Fr. S. Antarctic Lands,ATF
77,2.87605E+12,France,FRA
78,17893000000,Gabon,GAB
79,1870000000,Gambia,GMB
80,18888000000,Georgia,GEO
81,4.15712E+12,Germany,DEU
82,72264000000,Ghana,GHA
83,2.305E+11,Greece,GRC
84,2282927882,Greenland,GRL
85,1330000000,Grenada,GRD
86,NA,Guam,GUM
87,87629000000,Guatemala,GTM
88,NA,Guernsey,GGY
89,13603000000,Guinea,GIN
90,1669000000,Guinea-Bissau,GNB
91,4609000000,Guyana,GUY
92,9648000000,Haiti,HTI
93,NA,Heard I. and McDonald Is.,HMD
94,25560000000,Honduras,HND
95,4.02034E+11,Hong Kong,HKG
96,1.77734E+11,Hungary,HUN
97,26821000000,Iceland,ISL
98,3.25772E+12,India,IND
99,NA,Indian Ocean Ter.,IOA
100,1.20886E+12,Indonesia,IDN
101,4.95694E+11,Iran,IRN
102,2.46932E+11,Iraq,IRQ
103,4.05185E+11,Ireland,IRL
104,NA,Isle of Man,IMN
105,4.03961E+11,Israel,ISR
106,2.09045E+12,Italy,ITA
107,16717000000,Jamaica,JAM
108,5.49542E+12,Japan,JPN
109,NA,Jersey,JEY
110,46451000000,Jordan,JOR
111,1.77322E+11,Kazakhstan,KAZ
112,1.09116E+11,Kenya,KEN
113,196000000,Kiribati,KIR
114,NA,Kosovo,KOS
115,1.42999E+11,Kuwait,KWT
116,8781000000,Kyrgyzstan,KGZ
117,22013000000,Laos,LAO
118,38102000000,Latvia,LVA
119,60620000000,Lebanon,LBN
120,2892000000,Lesotho,LSO
121,3217000000,Liberia,LBR
122,50424000000,Libya,LBY
123,6193677543,Liechtenstein,LIE
124,57602000000,Lithuania,LTU
125,73693000000,Luxembourg,LUX
126,62158000000,Macao,MAC
127,13700000000,Macedonia,MKD
128,13542000000,Madagascar,MDG
129,7861000000,Malawi,MWI
130,4.01985E+11,Malaysia,MYS
131,6213000000,Maldives,MDV
132,19332000000,Mali,MLI
133,16338000000,Malta,MLT
134,228000000,Marshall Is.,MHL
135,5697000000,Mauritania,MRT
136,15757000000,Mauritius,MUS
137,1.29775E+12,Mexico,MEX
138,389000000,Micronesia,FSM
139,12793000000,Moldova,MDA
140,6468000877,Monaco,MCO
141,14960000000,Mongolia,MNG
142,5740000000,Montenegro,MNE
143,62051375,Montserrat,MSR
144,1.29056E+11,Morocco,MAR
145,16294000000,Mozambique,MOZ
146,71403000000,Myanmar,MMR
147,NA,N. Cyprus,CYN
148,NA,N. Mariana Is.,MNP
149,14627000000,Namibia,NAM
150,117000000,Nauru,NRU
151,33035000000,Nepal,NPL
152,9.54931E+11,Netherlands,NLD
153,9445714851,New Caledonia,NCL
154,2.24943E+11,New Zealand,NZL
155,12459000000,Nicaragua,NIC
156,10628000000,Niger,NER
157,4.96122E+11,Nigeria,NGA
158,NA,Niue,NIU
159,NA,Norfolk Island,NFK
160,16788601831,North Korea,PRK
161,4.38623E+11,Norway,NOR
162,84158000000,Oman,OMN
163,2.82506E+11,Pakistan,PAK
164,324000000,Palau,PLW
165,13397100000,Palestine,PSX
166,75494000000,Panama,PAN
167,22114000000,Papua New Guinea,PNG
168,45376000000,Paraguay,PRY
169,2.44163E+11,Peru,PER
170,3.89048E+11,Philippines,PHL
171,NA,Pitcairn Is.,PCN
172,6.43274E+11,Poland,POL
173,2.49912E+11,Portugal,PRT
174,1.04117E+11,Puerto Rico,PRI
175,2.04008E+11,Qatar,QAT
176,2.63133E+11,Romania,ROU
177,1.66746E+12,Russia,RUS
178,11062000000,Rwanda,RWA
179,NA,S. Geo. and the Is.,SGS
180,2796000000,S. Sudan,SDS
181,527000000,Sao Tome and Principe,STP
182,NA,Saint Helena,SHN
183,2069000000,Saint Lucia,LCA
184,960000000,Samoa,WSM
185,1672000000,San Marino,SMR
186,7.90062E+11,Saudi Arabia,SAU
187,28062000000,Senegal,SEN
188,56886000000,Serbia,SRB
189,1739000000,Seychelles,SYC
190,NA,Siachen Glacier,KAS
191,4221000000,Sierra Leone,SLE
192,3.91875E+11,Singapore,SGP
193,1072067039,Sint Maarten,SXM
194,1.17399E+11,Slovakia,SVK
195,58213000000,Slovenia,SVN
196,1607000000,Solomon Is.,SLB
