Province,Population,Population (1977) (People),Colour
Adrar,399714,137491,#e6ab02
Ain Defla,766013,391437,#7570b3
Ain Temouchent,371239,219263,#1b9e77
Alger,609499,1587888,#66a61e
Annaba,1119791,350032,#e7298a
Batna,270061,513500,#7570b3
Bechar,912577,126500,#7570b3
Bejaia,721356,511600,#d95f02
Biskra,1002937,329912,#d95f02
Blida,628475,500994,#e7298a
Bordj Bou Arreridj,695583,309303,#e6ab02
Bouira,802083,374267,#7570b3
Boumerdes,1002088,439647,#1b9e77
Chlef,938475,429807,#e7298a
Constantine,1092184,478339,#7570b3
Djelfa,228624,332535,#1b9e77
El Bayadh,2988145,114794,#d95f02
El Oued,647548,259947,#7570b3
El Tarf,408414,193497,#d95f02
Ghardaia,363598,162486,#66a61e
Guelma,482430,276998,#e6ab02
Illizi,52333,12078,#66a61e
Jijel,636948,342535,#e7298a
Khenchela,386683,189026,#1b9e77
Laghouat,455602,148418,#e7298a
M'Sila,784073,407663,#e7298a
Mascara,819932,475847,#1b9e77
Medea,766886,378655,#d95f02
Mila,737118,360918,#1b9e77
Mostaganem,990591,416723,#d95f02
Naama,192891,82555,#66a61e
Oran,1454078,691660,#66a61e
Ouargla,558558,197332,#e7298a
Oum el Bouaghi,621612,305717,#66a61e
Relizane,726180,368512,#66a61e
Saida,330641,143786,#e7298a
Setif,1489979,686540,#66a61e
Sidi Bel Abbes,604744,321890,#e6ab02
Skikda,898680,466932,#d95f02
Souk Ahras,438127,225669,#1b9e77
Tamanghasset,176637,42096,#1b9e77
Tebessa,648703,306814,#e6ab02
Tiaret,846823,407330,#7570b3
Tindouf,49149,7417,#1b9e77
Tipaza,591010,450598,#d95f02
Tissemsilt,294476,170269,#e6ab02
Tizi Ouzou,1127607,701976,#e6ab02
Tlemcen,949135,535807,#7570b3
