Province,Population,Population (1970) (People),Colour
Bengo,445700,NA,#66a61e
Benguela,2543500,466091,#e6ab02
Bie,1709100,609368,#1b9e77
Cabinda,824100,81265,#66a61e
Cuando Cubango,619800,113562,#e6ab02
Cuanza Norte,510000,304565,#1b9e77
Cuanza Sul,2172200,462968,#d95f02
Cunene,1157500,NA,#66a61e
Huambo,2389200,821168,#e7298a
Huila,2906800,700715,#7570b3
Luanda,8247700,569113,#e6ab02
Lunda Norte,1001100,302278,#d95f02
Lunda Sul,629200,NA,#7570b3
Malanje,1141500,545935,#e7298a
Moxico,880500,189885,#e7298a
Namibe,588400,52179,#d95f02
Uige,1710800,386709,#e6ab02
Zaire,698500,40365,#7570b3
