Country,Population,GDP,Colour
Algeria,43851044,169988240000,#e7298a
Bahrain,1701575,38574070000,#e7298a
Comoros,869601,1185730000,#e6ab02
Djibouti,988000,3318720000,#1b9e77
Egypt,102334404,303175130000,#e6ab02
Iraq,40222493,234094040000,#e7298a
Jordan,10203134,43743660000,#66a61e
Kuwait,4270571,134761200000,#e6ab02
Lebanon,6825445,53367040000,#1b9e77
Libya,6871292,52076250000,#66a61e
Mauritania,4649658,7593750000,#e6ab02
Morocco,36910560,118725280000,#1b9e77
Oman,5106626,76983090000,#d95f02
Palestine,5101414,14620000000,#d95f02
Qatar,2881053,262394040000,#d95f02
Saudi Arabia,34813871,1609323460000,#1b9e77
Somalia,15893222,4721000000,#e7298a
Sudan,43849260,169474850000,#d95f02
Syria,17500658,40410000000,#e6ab02
Tunisia,11818619,125783480000,#7570b3
United Arab Emirates,9890402,655789430000,#7570b3
Yemen,29825964,26910000000,#7570b3
