State,Population,GDP,Colour
Acre,790101,13.622,#d95f02
Alagoas,3321730,46.364,#7570b3
Amapa,750912,13.861,#1b9e77
Amazonas,3873743,86.56,#1b9e77
Bahia,15126371,245.025,#1b9e77
Ceara,8842791,130.621,#e7298a
Distrito Federal,2852372,215.613,#e7298a
Espirito Santo,3885049,120.363,#e7298a
Goias,6523222,173.632,#7570b3
Maranhao,6850884,78.475,#1b9e77
Mato Grosso,3224357,107.418,#e7298a
Mato Grosso do Sul,2619657,83.082,#66a61e
Minas Gerais,20734097,519.326,#d95f02
Para,8073924,130.883,#66a61e
Paraiba,3943885,56.14,#66a61e
Parana,11081692,376.96,#d95f02
Pernambuco,9277727,156.955,#d95f02
Piaui,3194718,39.148,#7570b3
Rio de Janeiro,16461173,659.137,#1b9e77
Rio Grande do Norte,3408510,57.25,#7570b3
Rio Grande do Sul,11207274,381.985,#7570b3
Rondonia,1748531,36.563,#e6ab02
Roraima,496936,10.354,#e6ab02
Santa Catarina,6727148,249.073,#66a61e
Sao Paulo,44035304,1939.89,#e6ab02
Sergipe,2219574,38.554,#d95f02
Tocantins,1496880,28.93,#e6ab02
