Country,Population,GDP,Colour
Austria,9006398,447718000000,#d95f02
Belgium,11589623,517609000000,#e7298a
Bosnia and Herzegovina,3280819,20106000000,#d95f02
Bulgaria,6948445,66250000000,#d95f02
Croatia,4105267,60702000000,#1b9e77
Czech Republic,10708981,246953000000,#66a61e
Denmark,5792202,347176000000,#e6ab02
Estonia,1326535,31038000000,#d95f02
Finland,5540720,269654000000,#1b9e77
France,65273511,2707070000000,#7570b3
Germany,83783942,3863340000000,#1b9e77
Greece,10423054,214012000000,#7570b3
Hungary,9660351,170407000000,#66a61e
Iceland,341243,23918000000,#7570b3
Ireland,4937786,384940000000,#e6ab02
Italy,60461826,1988640000000,#e6ab02
Latvia,1886198,35045000000,#7570b3
Liechtenstein,38557,6295000000,#66a61e
Lithuania,2722289,53641000000,#e6ab02
Luxembourg,625978,69453000000,#e6ab02
Malta,493559,14859000000,#e7298a
Netherlands,17134872,902355000000,#d95f02
North Macedonia,2083374,12672000000,#1b9e77
Norway,5421241,417627000000,#e7298a
Poland,37846611,565854000000,#7570b3
Portugal,10196709,236408000000,#66a61e
Republic of Cyprus,1207359,24280000000,#e7298a
Republic of Serbia,8737371,51523000000,#e7298a
Romania,19237691,243698000000,#e6ab02
Slovakia,5459642,106552000000,#e6ab02
Slovenia,2078938,54154000000,#7570b3
Spain,46754778,1397870000000,#e7298a
Sweden,10099265,528929000000,#66a61e
Switzerland,8654622,715360000000,#e7298a
United Kingdom,67886011,2743590000000,#1b9e77
