State,Population,GDP,Colour
Baden-Wuerttemberg,10879618,493265,#e7298a
Bayern,12843514,594447,#e6ab02
Berlin,3520031,136614,#e7298a
Brandenburg,2484826,69132,#7570b3
Bremen,671489,33662,#7570b3
Hamburg,1787408,117572,#d95f02
Hessen,6176172,279085,#d95f02
Mecklenburg-Vorpommern,1612362,42783,#66a61e
Niedersachsen,7926599,287959,#1b9e77
Nordrhein-Westfalen,17865516,691518,#7570b3
Rheinland-Pfalz,4052803,144308,#66a61e
Saarland,995597,35300,#1b9e77
Sachsen,4084851,121738,#1b9e77
Sachsen-Anhalt,2245470,60095,#d95f02
Schleswig-Holstein,2858714,93367,#e6ab02
Thueringen,2170714,61907,#e7298a
