Region,Population,GDP,Colour
Almaty,3837027,42324642424,#e7298a
Akmola,1770355,21622083333,#7570b3
Aktobe,857711,6858852121,#66a61e
Atyrau,631841,17578702121,#e7298a
East Kazakhstan,1379739,9379434545,#e6ab02
Mangystau,660317,9922873636,#1b9e77
North Kazakhstan,558584,3290675455,#1b9e77
Pavlodar,754854,7089834848,#d95f02
Karagandy,1379061,12771006061,#1b9e77
Kostanay,875616,5415280606,#e6ab02
Kyzylorda,783156,4304542424,#7570b3
Turkistan Region,2987881,15609577273,#d95f02
West Kazakhstan,646927,6924403333,#7570b3
Zhambyl,1117220,4002129697,#66a61e
