District,Population,Population (2006),Colour
Al Butnan,164510,157747,#1b9e77
Al Jabal al Akhdar,209978,206180,#1b9e77
Al Jabal al Gharbi,307616,302705,#1b9e77
Al Jifarah,443768,451175,#d95f02
Al Jufrah,42711,52092,#7570b3
Al Kufrah,35315,48328,#e6ab02
Al Marj,190001,184531,#7570b3
Al Marqab,448260,427886,#7570b3
Al Wahat,165184,179155,#d95f02
An Nuqat al Khams,292440,287359,#d95f02
Az Zawiyah,300894,290637,#66a61e
Benghazi,562067,674951,#e7298a
Darnah,164440,162857,#66a61e
Ghat,23929,23199,#d95f02
Misratah,502613,543129,#e6ab02
Murzuq,81791,78772,#66a61e
Nalut,97333,93896,#7570b3
Sabha,116016,133206,#e6ab02
Surt,117473,141495,#e7298a
Tripoli,940653,1063571,#e7298a
Wadi al Hayat,73872,76258,#1b9e77
Wadi ash Shati',82505,78563,#e7298a
