Region,Population,GDP,Colour
Andalusia,8388107,203695,#e6ab02
Aragon,1308563,46822,#1b9e77
Cantabria,582206,17088,#1b9e77
Castile and Leon,2447519,75657,#66a61e
Castile-La Mancha,2041631,52458,#7570b3
Catalonia,7522596,291229,#66a61e
Ceuta y Melilla,NA,4248,#1b9e77
Community of Madrid,6466996,288180,#e7298a
Chartered Community of Navarre,640647,26092,#e7298a
Valencian Community,4959968,142548,#e7298a
Extremadura,1087778,24389,#e7298a
Galicia,2718525,79629,#e7298a
Balearic Islands,1107220,39033,#d95f02
La Rioja,315794,10783,#e6ab02
Basque Autonomous Community,2189534,93755,#7570b3
Principality of Asturias,1042608,29465,#d95f02
Region of Murcia,1464847,39742,#d95f02
