Province,Population,Population (1979) (People),Colour
Arhangay,95994,78000,#d95f02
Bayan-Olgii,103765,71000,#d95f02
Bayankhongor,88359,63000,#7570b3
Bulgan,61794,42000,#e6ab02
Darkhan-Uul,104238,51000,#66a61e
Dornod,82295,59000,#e7298a
Dornogovi,69560,42000,#e6ab02
Dundgovi,46820,39000,#1b9e77
Zavkhan,73088,80000,#e7298a
Govi-Altai,58280,56000,#e6ab02
Govisumber,17489,NA,#e7298a
Khentii,77664,53000,#66a61e
Khovd,88447,63000,#66a61e
Khovsgol,134371,88000,#1b9e77
Omnogovi,69124,33000,#d95f02
Orkhon,103217,32000,#d95f02
Ovorkhangai,116645,83000,#66a61e
Selenge,109255,65000,#e7298a
Sukhbaatar,62611,43000,#1b9e77
Tov,95045,80000,#7570b3
Ulaanbaatar,1444669,403000,#e6ab02
Uvs,83617,72000,#7570b3
