Region,Population,GDP,Colour
Auckland,1590261,75703310440,#e6ab02
Bay of Plenty,313380,11095661456,#d95f02
Canterbury,614628,24859899718,#e6ab02
Gisborne,47565,1404514108,#1b9e77
Hawke's Bay,170448,5688282139,#e7298a
Manawatu-Wanganui,241182,7514150480,#7570b3
Marlborough,50562,2106771163,#1b9e77
Nelson,53082,NA,#e7298a
Northland,181047,5196702201,#7570b3
Otago,239313,8918664588,#7570b3
Southland,101571,4073090914,#e7298a
Taranaki,118215,5688282139,#d95f02
Tasman,55206,3651736682,#7570b3
Waikato,466110,16783943595,#1b9e77
Wellington,514752,26053736710,#66a61e
West Coast,35202,1123611287,#d95f02
