Department,Population,Population (1982) (People),Colour
Alto Paraguay,1,9021,#d95f02
Alto Parana,1,199644,#7570b3
Amambay,1,68395,#7570b3
Asuncion,1,454881,#66a61e
Boqueron,1,14790,#e6ab02
Caaguazu,1,299437,#d95f02
Caazapa,1,109452,#66a61e
Canindeyu,1,66409,#1b9e77
Central,1,497388,#e6ab02
Concepcion,1,133977,#e6ab02
Cordillera,1,194011,#66a61e
Guaira,1,143510,#e7298a
Itapua,1,262680,#e7298a
Misiones,1,77475,#d95f02
Neembucu,1,70338,#1b9e77
Paraguari,1,204399,#7570b3
Presidente Hayes,1,33021,#1b9e77
San Pedro,1,191002,#e7298a
