Region/Province,Population,Voting Age Population (2011) (People),Colour
Amazonas,379384,249935,#e6ab02
Ancash,1083519,667743,#e7298a
Apurimac,405759,259635,#7570b3
Arequipa,1382730,794222,#e7298a
Ayacucho,616176,360589,#d95f02
Cajamarca,1341012,878434,#e7298a
Callao,994494,633740,#e7298a
Cusco,1205527,776662,#1b9e77
Huancavelica,347639,241739,#7570b3
Huanuco,721047,483274,#7570b3
Ica,850765,466528,#e6ab02
Junin,1246038,748728,#e6ab02
La Libertad,1778080,1068887,#1b9e77
Lambayeque,1197260,744997,#d95f02
Lima,910431,5972307,#d95f02
Lima Province,8574974,NA,#66a61e
Loreto,883510,559667,#e7298a
Madre de Dios,141070,78455,#d95f02
Moquegua,174863,116122,#66a61e
Pasco,254065,167764,#1b9e77
Piura,1856809,1045419,#1b9e77
Puno,1172697,772832,#7570b3
San Martin,813381,486052,#66a61e
Tacna,329332,211598,#e6ab02
Tumbes,224863,147946,#d95f02
Ucayali,496459,279386,#66a61e
