Region,Population,Nominal GRP,Colour
Greater Poland,3490597,51744000000,#7570b3
Holy Cross,1244400,11312000000,#e7298a
Kuyavian-Pomeranian,2079900,22960000000,#e7298a
Lesser Poland,3395700,42112000000,#e6ab02
Lodz,2470610,31584000000,#66a61e
Lower Silesian,2901000,43680000000,#d95f02
Lublin,2121600,19936000000,#d95f02
Lubusz,1015440,11424000000,#1b9e77
Masovian,5391813,117376000000,#1b9e77
Opole,988031,10752000000,#e7298a
Podlaskie,1182700,11536000000,#e7298a
Pomeranian,2328200,30576000000,#d95f02
Silesian,4540100,64064000000,#1b9e77
Subcarpathian,2128747,20272000000,#7570b3
Warmian-Masurian,1431100,13776000000,#e6ab02
West Pomeranian,1703000,19376000000,#e7298a
