Region,Population,GDP,Colour
Adygey,454485,3439,#7570b3
Altay,2333762,19766,#1b9e77
Amur,793627,10388,#e7298a
Arkhangel'sk,1144393,23836,#7570b3
Astrakhan',1014374,12751,#e7298a
Bashkortostan,4051333,55110,#66a61e
Belgorod,1547788,27334,#1b9e77
Bryansk,1199951,10725,#66a61e
Buryat,982940,8156,#7570b3
Chechnya,1458401,6235,#66a61e
Chelyabinsk,3475823,43815,#d95f02
Chukot,49222,2496,#e7298a
Chuvash,1223524,10375,#1b9e77
City of St. Petersburg,5381736,117035,#d95f02
Dagestan,3085343,23757,#1b9e77
Gorno-Altay,NA,NA,#66a61e
Ingush,497356,2302,#7570b3
Irkutsk,2398617,40044,#1b9e77
Ivanovo,1003835,6666,#e7298a
Kabardin-Balkar,865978,5213,#e7298a
Kaliningrad,1002114,13514,#1b9e77
Kalmyk,272710,2032,#7570b3
Kaluga,1009996,14340,#7570b3
Kamchatka,314870,6417,#1b9e77
Karachay-Cherkess,465664,3054,#1b9e77
Karelia,617920,8192,#e6ab02
Kemerovo,2673796,32983,#7570b3
Khabarovsk,1321454,24240,#7570b3
Khakass,536200,7080,#e6ab02
Khanty-Mansiy,1664089,124714,#1b9e77
Kirov,1272233,11048,#66a61e
Komi,830381,21221,#d95f02
Kostroma,637145,6457,#7570b3
Krasnodar,5647652,79083,#e7298a
Krasnoyarsk,2872635,62808,#66a61e
Kurgan,834666,7456,#7570b3
Kursk,1106945,13126,#e6ab02
Leningrad,1846913,31507,#66a61e
Lipetsk,1143749,17462,#66a61e
Maga Buryatdan,141033,4281,#d95f02
Mariy-El,680509,6361,#7570b3
Mordovia,795579,7542,#66a61e
Moscow City,12630289,565242,#66a61e
Moskva,7596336,119397,#e7298a
Murmansk,748099,14134,#e7298a
Nenets,43792,8107,#66a61e
Nizhegorod,3214375,44940,#e6ab02
North Ossetia,699204,5597,#d95f02
Novgorod,600382,9088,#e6ab02
Novosibirsk,2793278,39509,#e7298a
Omsk,1944546,26430,#e6ab02
Orel,739327,7932,#e7298a
Orenburg,1962860,32272,#e6ab02
Penza,1317535,13136,#e7298a
Perm',2610476,42712,#7570b3
Primor'ye,1903289,28396,#66a61e
Pskov,629659,5353,#e7298a
Rostov,4203634,44141,#1b9e77
Ryazan',1114312,13121,#d95f02
Sakha,967522,29132,#e6ab02
Sakhalin,489380,35016,#e6ab02
Samara,3183729,50836,#e7298a
Saratov,2440814,24813,#66a61e
Smolensk,942786,10359,#e6ab02
Stavropol',2795431,23883,#e6ab02
Sverdlovsk,4316264,73319,#e7298a
Tambov,1015369,12172,#1b9e77
Tatarstan,3898700,73759,#d95f02
Tomsk,1077796,18891,#d95f02
Tula,1478777,18026,#e6ab02
Tuva,324537,2061,#e7298a
Tver',1269182,13565,#7570b3
Tyumen',3724538,228527,#66a61e
Udmurt,1507452,19504,#e7298a
Ul'yanovsk,1238596,12314,#7570b3
Vladimir,1365384,14470,#1b9e77
Volgograd,2507831,31555,#e6ab02
Vologda,1167793,17140,#e7298a
Voronezh,2327703,31291,#d95f02
Yamal-Nenets,542065,71118,#e6ab02
Yaroslavl',1259935,17128,#d95f02
Yevrey,159955,1842,#d95f02
Zabaykal'ye,1065969,10043,#d95f02
