Planning Area,Population,Population (2015) (People),Colour
Ang Mo Kio,163950,174770,#7570b3
Bedok,279380,289750,#7570b3
Bishan,88010,90700,#7570b3
Boon Lay,40,30,#7570b3
Bukit Batok,153740,139270,#7570b3
Bukit Merah,151980,155840,#7570b3
Bukit Panjang,139280,139030,#7570b3
Bukit Timah,77430,74470,#7570b3
Central Water Catchment,NA,10,#7570b3
Changi,1830,2530,#7570b3
Changi Bay,NA,NA,#7570b3
Choa Chu Kang,190890,174330,#7570b3
Clementi,92420,91630,#7570b3
Downtown Core,2720,3720,#7570b3
Geylang,110200,116960,#7570b3
Hougang,226240,222310,#7570b3
Jurong East,79240,84980,#7570b3
Jurong West,264860,272660,#7570b3
Kallang,101520,101210,#7570b3
Lim Chu Kang,110,90,#7570b3
Mandai,2090,2120,#7570b3
Marina East,NA,NA,#7570b3
Marina South,NA,NA,#7570b3
Marine Parade,46390,48730,#7570b3
Museum,450,380,#7570b3
Newton,8030,6920,#7570b3
North-eastern Islands,50,60,#7570b3
Novena,49210,47990,#7570b3
Orchard,920,920,#7570b3
Outram,18960,22080,#7570b3
Pasir Ris,148020,139890,#7570b3
Paya Lebar,40,40,#7570b3
Pioneer,80,100,#7570b3
Punggol,170560,109750,#7570b3
Queenstown,96340,98050,#7570b3
River Valley,10250,9190,#7570b3
Rochor,13340,14590,#7570b3
Seletar,280,270,#7570b3
Sembawang,95920,76530,#7570b3
Sengkang,244600,206680,#7570b3
Serangoon,116310,120670,#7570b3
Simpang,NA,NA,#7570b3
Singapore River,3070,2720,#7570b3
Southern Islands,1880,1480,#7570b3
Straits View,NA,NA,#7570b3
Sungei Kadut,780,850,#7570b3
Tampines,256730,261230,#7570b3
Tanglin,21630,19000,#7570b3
Tengah,10,10,#7570b3
Toa Payoh,120650,124940,#7570b3
Tuas,80,70,#7570b3
Western Islands,10,NA,#7570b3
Western Water Catchment,690,900,#7570b3
Woodlands,254730,250290,#7570b3
Yishun,220320,201970,#7570b3
