"Province/City","Population","GDP","Colour"
"Busan","","66459547895",""
"Chungcheongbuk-do","","44379857973",""
"Chungcheongnam-do","","92285851382",""
"Daegu","","42585471022",""
"Daejeon","","30605252850",""
"Gangwon-do","","33036543167",""
"Gwangju","","28152059058",""
"Gyeonggi-do","","2.97E+11",""
"Gyeongsangbuk-do","","84089653416",""
"Gyeongsangnam-do","","95924665404",""
"Incheon","","61418166126",""
"Jeju","","12452590995",""
"Jeollabuk-do","","40123259830",""
"Jeollanam-do","","58016122519",""
"Sejong","","NA",""
"Seoul","","3.04E+11",""
"Ulsan","","64289253238",""
