Autonomous Community/City,Population,GDP,Colour
Ceuta y Melilla,168720,189694000000,#e6ab02
La Rioja,314487,43742000000,#e6ab02
Cantabria,581949,16299000000,#7570b3
Extremadura,1062797,68410000000,#e6ab02
Comunidad Foral de Navarra,652526,48829000000,#66a61e
Principado de Asturias,1019993,270074000000,#d95f02
Region de Murcia,1494442,3870000000,#e7298a
Islas Baleares,1198576,272569000000,#d95f02
Aragon,1324397,23954000000,#7570b3
Castilla-La Mancha,2220270,131066000000,#d95f02
Castilla y Leon,2402877,23653000000,#1b9e77
Galicia,2698764,73896000000,#e7298a
Pais Vasco,2181919,38432000000,#e7298a
Comunidad Valenciana,4998711,10054000000,#66a61e
Andalucia,8446561,85233000000,#1b9e77
Cataluna,7609499,27565000000,#1b9e77
Comunidad de Madrid,6685471,37152000000,#7570b3
