Region,Population,GDP,Colour
Dalarna,286165,11075000,#d95f02
Gavleborg,285637,10603000,#7570b3
Gotland,58595,2102000,#1b9e77
Halland,324825,11414000,#1b9e77
Jamtland,129806,4813000,#1b9e77
Jonkoping,357237,14330000,#e6ab02
Kalmar,243536,8756000,#7570b3
Kronoberg,197519,8470000,#e7298a
Norrbotten,251295,11380000,#e7298a
Orebro,298907,11659000,#1b9e77
Ostergotland,457496,18606000,#66a61e
Blekinge,159371,5905000,#e6ab02
Sodermanland,291341,9695000,#e7298a
Skane,1344689,53468000,#66a61e
Stockholm,2308143,149771000,#d95f02
Uppsala,368971,15881000,#66a61e
Varmland,280399,10134000,#e7298a
Vasterbotten,268465,10721000,#66a61e
Vasternorrland,245968,10203000,#e6ab02
Vastmanland,271095,10729000,#e6ab02
Vastra Gotaland,1690782,79472000,#7570b3
