Region,Population,GDP,Colour
Aargau,678207,30124000000,#e6ab02
Appenzell Ausserrhoden,55234,2308000000,#d95f02
Appenzell Innerrhoden,16145,737000000,#e7298a
Basel-Landschaft,289527,14586000000,#d95f02
Basel-Stadt,200298,24280000000,#66a61e
Bern,1034977,58595000000,#1b9e77
Fribourg,318714,13642000000,#e6ab02
Geneva,499480,35605000000,#1b9e77
Glarus,40403,2044000000,#e7298a
Graubunden,198379,10512000000,#e6ab02
Jura,73419,3465000000,#e6ab02
Lucerne,409557,19750000000,#7570b3
Neuchatel,176850,11703000000,#7570b3
Nidwalden,43223,2232000000,#e6ab02
Obwalden,37841,1835000000,#66a61e
Sankt Gallen,507697,27108000000,#1b9e77
Schaffhausen,81991,5177000000,#e7298a
Schwyz,159165,6906000000,#d95f02
Solothurn,273194,13159000000,#e7298a
Thurgau,276472,12062000000,#7570b3
Ticino,353343,21777000000,#66a61e
Uri,36433,1444000000,#7570b3
Valais,343955,13395000000,#e6ab02
Vaud,799145,39385000000,#66a61e
Zug,126837,13906000000,#e7298a
Zurich,1520968,105794000000,#66a61e
