Region,Population,GDP,Colour
Cherkasy,1186848,3796508950,#e6ab02
Chernihiv,986199,2906305620,#7570b3
Chernivtsi,899755,1598747380,#7570b3
Crimea,1911818,5408006480,#e6ab02
Dnipropetrovsk,3164030,17967997100,#7570b3
Donetsk,4120098,20737208250,#1b9e77
Ivano-Frankivsk,1365366,3920488980,#d95f02
Kharkiv,2649501,9984338890,#e7298a
Kherson,1023856,2350520510,#66a61e
Khmelnytskyi,1250797,3185958910,#d95f02
Kiev,1781891,8459178090,#e7298a
Kiev City,2965013,33476429550,#d95f02
Kirovohrad,928242,2678260080,#66a61e
Lviv,2506733,7524045660,#1b9e77
Luhansk,2130788,7136076810,#66a61e
Mykolayiv,1115657,3546363150,#e6ab02
Odessa,2373758,7861742490,#e7298a
Poltava,1381365,6870509400,#d95f02
Rivne,1151266,2646566850,#7570b3
Sevastopol,443212,1201064130,#1b9e77
Sumy,1063015,3027614190,#1b9e77
Ternopil,1035881,2180518510,#e6ab02
Transcarpathia,1252693,2599087720,#7570b3
Vinnytsya,1539308,4010104320,#1b9e77
Volyn,1030157,2429207150,#e7298a
Zaporizhzhya,1679889,6657764040,#d95f02
Zhytomyr,1203652,3017414070,#66a61e
