Province/Municipality,Population,Population (1995) (People),Colour
An Giang,2164200,1970100,#d95f02
Ba Ria - Vung Tau,1112900,708900,#66a61e
Bac Giang,1691800,1431000,#e6ab02
Bac Kan,327900,254200,#66a61e
Bac Lieu,897000,709500,#1b9e77
Bac Ninh,1247500,916000,#d95f02
Ben Tre,1268200,1281800,#1b9e77
Binh Dinh,1534800,1394400,#e7298a
Binh Duong,2163600,639000,#e6ab02
Binh Phuoc,979600,533200,#7570b3
Binh Thuan,1239200,951700,#d95f02
Ca Mau,1229600,1041800,#e7298a
Can Tho,1282300,1739700,#e7298a
Cao Bang,540400,489200,#e6ab02
Da Nang,1080700,637300,#7570b3
Dak Lak,1919200,1398300,#d95f02
Dak Nong,645400,NA,#e6ab02
Dien Bien,576700,NA,#1b9e77
Dong Nai,3086100,1844800,#1b9e77
Dong Thap,1693300,1489300,#66a61e
Gia Lai,1458500,850700,#1b9e77
Ha Giang,846500,550300,#7570b3
Ha Nam,808200,763700,#d95f02
Ha Noi,7520700,4730000,#1b9e77
Ha Tinh,1277500,1247700,#7570b3
Hai Duong,1807500,1609100,#66a61e
Hai Phong,2013800,1608200,#e6ab02
Hau Giang,776700,NA,#66a61e
Ho Chi Minh,8598700,4640400,#e7298a
Hoa Binh,846100,718500,#66a61e
Hung Yen,1188900,1033200,#e6ab02
Khanh Hoa,1232400,959400,#7570b3
Kien Giang,1810500,1392000,#7570b3
Kon Tum,535000,279500,#d95f02
Lai Chau,456300,535500,#e7298a
Lam Dong,1312900,856300,#e7298a
Lang Son,790500,679200,#e7298a
Lao Cai,705600,550100,#66a61e
Long An,1503100,1250800,#7570b3
Nam Dinh,1854400,1820500,#7570b3
Nghe An,3157100,2714900,#e6ab02
Ninh Binh,973300,855500,#e7298a
Ninh Thuan,611800,466500,#66a61e
Phu Tho,1404200,1211700,#e6ab02
Phu Yen,909500,740300,#66a61e
Quang Binh,887600,746100,#1b9e77
Quang Nam,1501100,1322000,#e6ab02
Quang Ngai,1272800,1149000,#7570b3
Quang Ninh,1266500,941700,#1b9e77
Quang Tri,630600,534900,#d95f02
Soc Trang,1315900,1150100,#e7298a
Son La,1242700,811700,#d95f02
Tay Ninh,1133400,910000,#d95f02
Thai Binh,1793200,1752300,#1b9e77
Thai Nguyen,1268300,1005000,#7570b3
Thanh Hoa,3558200,3337700,#1b9e77
Thua Thien Hue,1163600,999300,#e7298a
Tien Giang,1762300,1581500,#e6ab02
Tra Vinh,1049800,934900,#d95f02
Tuyen Quang,780100,638800,#d95f02
Vinh Long,1051800,990400,#7570b3
Vinh Phuc,1092400,1048200,#66a61e
Yen Bai,815600,647700,#1b9e77
