Country,Population,GDP,Colour
Afghanistan,34124811,20682000000,#aaaaaa
Aland,27153,NA,#aaaaaa
Albania,3047987,17210000000,#aaaaaa
Algeria,40969443,193056000000,#aaaaaa
American Samoa,51504,NA,#aaaaaa
Andorra,85702,2858406626,#aaaaaa
Angola,29310273,96426000000,#aaaaaa
Anguilla,17087,337520470,#aaaaaa
Antarctica,4050,NA,#aaaaaa
Antigua and Barb.,94731,NA,#aaaaaa
Argentina,44293293,515353000000,#aaaaaa
Armenia,3045191,13868000000,#aaaaaa
Aruba,115120,2952000000,#aaaaaa
Australia,23232413,1481460000000,#aaaaaa
Austria,8754413,481678000000,#aaaaaa
Azerbaijan,9961396,47429000000,#aaaaaa
Bahamas,329988,13710000000,#aaaaaa
Bahrain,1410942,40707000000,#aaaaaa
Bangladesh,157826578,343279000000,#aaaaaa
Barbados,292336,5339000000,#aaaaaa
Belarus,9549747,63664000000,#aaaaaa
Belgium,11491346,553781000000,#aaaaaa
Belize,360346,2071000000,#aaaaaa
Benin,11038805,12129000000,#aaaaaa
Bermuda,70864,6127341000,#aaaaaa
Bhutan,758288,2939000000,#aaaaaa
Bolivia,11138234,47052000000,#aaaaaa
Bosnia and Herz.,3856181,NA,#aaaaaa
Botswana,2214858,20873000000,#aaaaaa
Br. Indian Ocean Ter.,4000,NA,#aaaaaa
Brazil,207353391,2062500000000,#aaaaaa
British Virgin Is.,35015,971237110,#aaaaaa
Brunei,443593,14281000000,#aaaaaa
Bulgaria,7101510,71746000000,#aaaaaa
Burkina Faso,20107509,16266000000,#aaaaaa
Burundi,11466756,3714000000,#aaaaaa
Cabo Verde,560899,2208000000,#aaaaaa
Cambodia,16204486,29309000000,#aaaaaa
Cameroon,24994885,42047000000,#aaaaaa
Canada,35623680,1832490000000,#aaaaaa
Cayman Is.,58441,3844080626,#aaaaaa
Central African Rep.,5625118,2485000000,#aaaaaa
Chad,12075985,12547000000,#aaaaaa
Chile,17789267,313561000000,#aaaaaa
China,1379302771,15468100000000,#aaaaaa
Colombia,47698524,352810000000,#aaaaaa
Comoros,808080,773000000,#aaaaaa
Congo,4954674,11367000000,#aaaaaa
Cook Is.,9290,290194195,#aaaaaa
Costa Rica,4930258,63460000000,#aaaaaa
Cote d'Ivoire,24184810,49882000000,#aaaaaa
Croatia,4292095,64590000000,#aaaaaa
Cuba,11154407,89688700000,#aaaaaa
Curacao,149648,3121449966,#aaaaaa
Cyprus,1247249,26348000000,#aaaaaa
Czechia,10674723,259736000000,#aaaaaa
Dem. Rep. Congo,83301151,52475000000,#aaaaaa
Denmark,5605948,364546000000,#aaaaaa
Djibouti,865267,2599000000,#aaaaaa
Dominica,73897,590000000,#aaaaaa
Dominican Rep.,10734247,90459000000,#aaaaaa
Ecuador,16290913,107730000000,#aaaaaa
Egypt,97041072,331360000000,#aaaaaa
El Salvador,6172011,28202000000,#aaaaaa
Eq. Guinea,778358,12263000000,#aaaaaa
Eritrea,5918919,8116000000,#aaaaaa
Estonia,1251581,33235000000,#aaaaaa
eSwatini,1467152,NA,#aaaaaa
