Country,,Land Area,Colour
Afghanistan,,642181.6164,#aaaaaa
Aland,,942.0536241,#aaaaaa
Albania,,28335.84516,#aaaaaa
Algeria,,2308857.818,#aaaaaa
American Samoa,,180.3056964,#aaaaaa
Andorra,,452.2479368,#aaaaaa
Angola,,1244654.314,#aaaaaa
Anguilla,,80.67384597,#aaaaaa
Antarctica,,12358174.39,#aaaaaa
Antigua and Barb.,,451.4801888,#aaaaaa
Argentina,,2784305.919,#aaaaaa
Armenia,,29588.31032,#aaaaaa
Aruba,,169.7664224,#aaaaaa
Australia,,7691175.09,#aaaaaa
Austria,,83993.19688,#aaaaaa
Azerbaijan,,86249.80023,#aaaaaa
Bahamas,,12592.69786,#aaaaaa
Bahrain,,584.9397796,#aaaaaa
Bangladesh,,136903.6781,#aaaaaa
Barbados,,444.2213241,#aaaaaa
Belarus,,207499.1334,#aaaaaa
Belgium,,30669.83051,#aaaaaa
Belize,,22299.4222,#aaaaaa
Benin,,116113.309,#aaaaaa
Bermuda,,62.30216573,#aaaaaa
Bhutan,,40365.36422,#aaaaaa
Bolivia,,1086810.646,#aaaaaa
Bosnia and Herz.,,51826.53786,#aaaaaa
Botswana,,579029.2005,#aaaaaa
Br. Indian Ocean Ter.,,49.06066589,#aaaaaa
Brazil,,8472669.678,#aaaaaa
British Virgin Is.,,144.9411761,#aaaaaa
Brunei,,5716.693259,#aaaaaa
Bulgaria,,112760.6938,#aaaaaa
Burkina Faso,,272769.3967,#aaaaaa
Burundi,,27041.2663,#aaaaaa
Cabo Verde,,3883.142708,#aaaaaa
Cambodia,,181059.6108,#aaaaaa
Cameroon,,464319.2783,#aaaaaa
Canada,,9945527.765,#aaaaaa
Cayman Is.,,309.1964669,#aaaaaa
Central African Rep.,,617984.24,#aaaaaa
Chad,,1266282.336,#aaaaaa
Chile,,736592.7499,#aaaaaa
China,,9374591.217,#aaaaaa
Colombia,,1135117.878,#aaaaaa
Comoros,,1672.226921,#aaaaaa
Congo,,344888.6767,#aaaaaa
Cook Is.,,191.1318923,#aaaaaa
Costa Rica,,51144.33533,#aaaaaa
Cote d'Ivoire,,320677.1569,#aaaaaa
Croatia,,55077.4429,#aaaaaa
Cuba,,109994.537,#aaaaaa
Curacao,,463.2502195,#aaaaaa
Cyprus,,5962.121345,#aaaaaa
Czechia,,78758.8595,#aaaaaa
Dem. Rep. Congo,,2325240.424,#aaaaaa
Denmark,,42696.43398,#aaaaaa
Djibouti,,21847.6141,#aaaaaa
Dominica,,730.3125711,#aaaaaa
Dominican Rep.,,48439.79011,#aaaaaa
Ecuador,,255014.2149,#aaaaaa
Egypt,,1001078.547,#aaaaaa
El Salvador,,20539.22903,#aaaaaa
Eq. Guinea,,26671.69086,#aaaaaa
Eritrea,,122537.7388,#aaaaaa
Estonia,,45819.0392,#aaaaaa
eSwatini,,17111.84504,#aaaaaa
Ethiopia,,1127375.98,#aaaaaa
Faeroe Is.,,1328.521589,#aaaaaa
Falkland Is.,,11597.22391,#aaaaaa
Fiji,,18930.08334,#aaaaaa
Finland,,333059.0553,#aaaaaa
Fr. Polynesia,,3336.547747,#aaaaaa
Fr. S. Antarctic Lands,,7279.985796,#aaaaaa
France,,636758.5293,#aaaaaa
Gabon,,259968.4847,#aaaaaa
Gambia,,10500.89704,#aaaaaa
Georgia,,69570.72579,#aaaaaa
Germany,,357673.8177,#aaaaaa
Ghana,,238668.677,#aaaaaa
Gibraltar,,3.692371219,#aaaaaa
Greece,,131353.4357,#aaaaaa
Greenland,,2154380.791,#aaaaaa
Grenada,,347.2632618,#aaaaaa
Guam,,564.2033872,#aaaaaa
Guatemala,,108811.2458,#aaaaaa
Guernsey,,73.98167691,#aaaaaa
Guinea,,244301.9801,#aaaaaa
Guinea-Bissau,,32829.62807,#aaaaaa
Guyana,,211213.6976,#aaaaaa
Haiti,,26891.56901,#aaaaaa
Heard I. and McDonald Is.,,394.8631324,#aaaaaa
Honduras,,112236.7314,#aaaaaa
Hong Kong,,1036.204745,#aaaaaa
Hungary,,93200.952,#aaaaaa
Iceland,,102390.0708,#aaaaaa
India,,3151452.492,#aaaaaa
Indonesia,,1879827.375,#aaaaaa
Iran,,1622510.187,#aaaaaa
Iraq,,437366.9831,#aaaaaa
Ireland,,69445.01467,#aaaaaa
Isle of Man,,574.8173932,#aaaaaa
Israel,,21900.93235,#aaaaaa
Italy,,301185.0686,#aaaaaa
Jamaica,,11032.89647,#aaaaaa
Japan,,373508.0342,#aaaaaa
Jersey,,119.0503223,#aaaaaa
Jordan,,88863.04759,#aaaaaa
Kazakhstan,,2720764.861,#aaaaaa
Kenya,,585702.5844,#aaaaaa
Kiribati,,949.8634513,#aaaaaa
Kosovo,,10913.07441,#aaaaaa
Kuwait,,17474.0204,#aaaaaa
Kyrgyzstan,,198990.4559,#aaaaaa
Laos,,228113.9749,#aaaaaa
Latvia,,64576.4036,#aaaaaa
Lebanon,,10000.01141,#aaaaaa
Lesotho,,30106.51807,#aaaaaa
Liberia,,95298.15395,#aaaaaa
Libya,,1623760.9,#aaaaaa
Liechtenstein,,137.2498038,#aaaaaa
Lithuania,,64939.29752,#aaaaaa
Luxembourg,,2608.46893,#aaaaaa
