Country,,Land Area,Colour
Afghanistan,,641843,#aaaaaa
Aland,,764,#aaaaaa
Albania,,28373,#aaaaaa
Algeria,,2319297,#aaaaaa
American Samoa,,120,#aaaaaa
Andorra,,443,#aaaaaa
Angola,,1244669,#aaaaaa
Anguilla,,83,#aaaaaa
Antarctica,,12356481,#aaaaaa
Antigua and Barb.,,431,#aaaaaa
Argentina,,2782455,#aaaaaa
Armenia,,29591,#aaaaaa
Aruba,,155,#aaaaaa
Ashmore and Cartier Is.,,3,#aaaaaa
Australia,,7691245,#aaaaaa
Austria,,84148,#aaaaaa
Azerbaijan,,86501,#aaaaaa
Bahamas,,12640,#aaaaaa
Bahrain,,540,#aaaaaa
Bangladesh,,135340,#aaaaaa
Barbados,,388,#aaaaaa
Belarus,,207561,#aaaaaa
Belgium,,30739,#aaaaaa
Belize,,22705,#aaaaaa
Benin,,116105,#aaaaaa
Bermuda,,66,#aaaaaa
Bhutan,,39811,#aaaaaa
Bolivia,,1086624,#aaaaaa
Bosnia and Herz.,,51790,#aaaaaa
Botswana,,579138,#aaaaaa
Br. Indian Ocean Ter.,,132,#aaaaaa
Brazil,,8467105,#aaaaaa
British Virgin Is.,,135,#aaaaaa
Brunei,,5647,#aaaaaa
Bulgaria,,112610,#aaaaaa
Burkina Faso,,272627,#aaaaaa
Burundi,,27087,#aaaaaa
Cabo Verde,,3573,#aaaaaa
Cambodia,,180670,#aaaaaa
Cameroon,,463871,#aaaaaa
Canada,,9923082,#aaaaaa
Cayman Is.,,300,#aaaaaa
Central African Rep.,,618323,#aaaaaa
Chad,,1266550,#aaaaaa
Chile,,737679,#aaaaaa
China,,9373026,#aaaaaa
Colombia,,1134458,#aaaaaa
Comoros,,1580,#aaaaaa
Congo,,345334,#aaaaaa
Cook Is.,,60,#aaaaaa
Costa Rica,,51303,#aaaaaa
Cote d'Ivoire,,320935,#aaaaaa
Croatia,,54543,#aaaaaa
Cuba,,109006,#aaaaaa
Curacao,,428,#aaaaaa
Cyprus,,5708,#aaaaaa
Czechia,,78744,#aaaaaa
Dem. Rep. Congo,,2324447,#aaaaaa
Denmark,,42618,#aaaaaa
Djibouti,,21619,#aaaaaa
Dominica,,695,#aaaaaa
Dominican Rep.,,48440,#aaaaaa
Ecuador,,254529,#aaaaaa
Egypt,,1001775,#aaaaaa
El Salvador,,20316,#aaaaaa
Eq. Guinea,,26525,#aaaaaa
Eritrea,,123244,#aaaaaa
Estonia,,45695,#aaaaaa
eSwatini,,16962,#aaaaaa
Ethiopia,,1127095,#aaaaaa
Faeroe Is.,,1042,#aaaaaa
Falkland Is.,,11430,#aaaaaa
Fiji,,18346,#aaaaaa
Finland,,332612,#aaaaaa
Fr. Polynesia,,2605,#aaaaaa
Fr. S. Antarctic Lands,,6994,#aaaaaa
France,,636063,#aaaaaa
Gabon,,259500,#aaaaaa
Gambia,,10275,#aaaaaa
Georgia,,69413,#aaaaaa
Germany,,357458,#aaaaaa
Ghana,,238559,#aaaaaa
Greece,,130276,#aaaaaa
Greenland,,2171413,#aaaaaa
Grenada,,285,#aaaaaa
Guam,,480,#aaaaaa
Guatemala,,108102,#aaaaaa
Guernsey,,48,#aaaaaa
Guinea,,243939,#aaaaaa
Guinea-Bissau,,31931,#aaaaaa
Guyana,,211023,#aaaaaa
Haiti,,26723,#aaaaaa
Heard I. and McDonald Is.,,420,#aaaaaa
Honduras,,113106,#aaaaaa
Hong Kong,,1026,#aaaaaa
Hungary,,93213,#aaaaaa
Iceland,,101825,#aaaaaa
India,,3148260,#aaaaaa
Indian Ocean Ter.,,143,#aaaaaa
Indonesia,,1863910,#aaaaaa
Iran,,1621842,#aaaaaa
Iraq,,437238,#aaaaaa
Ireland,,68983,#aaaaaa
Isle of Man,,560,#aaaaaa
Israel,,22265,#aaaaaa
Italy,,300793,#aaaaaa
Jamaica,,10897,#aaaaaa
Japan,,370276,#aaaaaa
Jersey,,127,#aaaaaa
Jordan,,88782,#aaaaaa
Kazakhstan,,2720705,#aaaaaa
Kenya,,592189,#aaaaaa
Kiribati,,933,#aaaaaa
Kosovo,,10930,#aaaaaa
Kuwait,,17308,#aaaaaa
Kyrgyzstan,,198927,#aaaaaa
Laos,,228232,#aaaaaa
Latvia,,64578,#aaaaaa
Lebanon,,10008,#aaaaaa
Lesotho,,29991,#aaaaaa
Liberia,,95255,#aaaaaa
Libya,,1623737,#aaaaaa
Liechtenstein,,138,#aaaaaa
Lithuania,,64815,#aaaaaa
Luxembourg,,2621,#aaaaaa
Macao,,23,#aaaaaa
Macedonia,,25400,#aaaaaa
Madagascar,,592827,#aaaaaa
Malawi,,119344,#aaaaaa
Malaysia,,326201,#aaaaaa
Maldives,,66,#aaaaaa
Mali,,1254112,#aaaaaa
Malta,,274,#aaaaaa
Marshall Is.,,236,#aaaaaa
Mauritania,,1035382,#aaaaaa
Mauritius,,1874,#aaaaaa
Mexico,,1957877,#aaaaaa
Micronesia,,522,#aaaaaa
Moldova,,33208,#aaaaaa
Monaco,,12,#aaaaaa
Mongolia,,1564521,#aaaaaa
Montenegro,,13690,#aaaaaa
Montserrat,,80,#aaaaaa
Morocco,,581722,#aaaaaa
Mozambique,,788097,#aaaaaa
Myanmar,,660976,#aaaaaa
N. Cyprus,,3471,#aaaaaa
N. Mariana Is.,,392,#aaaaaa
Namibia,,822531,#aaaaaa
Nauru,,28,#aaaaaa
Nepal,,146977,#aaaaaa
Netherlands,,37276,#aaaaaa
New Caledonia,,18616,#aaaaaa
New Zealand,,267244,#aaaaaa
Nicaragua,,128751,#aaaaaa
Niger,,1181188,#aaaaaa
Nigeria,,907833,#aaaaaa
Niue,,196,#aaaaaa
Norfolk Island,,41,#aaaaaa
North Korea,,122628,#aaaaaa
Norway,,386811,#aaaaaa
Oman,,311195,#aaaaaa
Pakistan,,872775,#aaaaaa
Palau,,339,#aaaaaa
Palestine,,6329,#aaaaaa
Panama,,73935,#aaaaaa
Papua New Guinea,,462301,#aaaaaa
Paraguay,,399949,#aaaaaa
Peru,,1291020,#aaaaaa
Philippines,,289182,#aaaaaa
Pitcairn Is.,,39,#aaaaaa
Poland,,313756,#aaaaaa
Portugal,,90846,#aaaaaa
Puerto Rico,,8915,#aaaaaa
Qatar,,11052,#aaaaaa
Romania,,236343,#aaaaaa
Russia,,16973511,#aaaaaa
Rwanda,,25273,#aaaaaa
S. Geo. and the Is.,,3685,#aaaaaa
S. Sudan,,621319,#aaaaaa
Saint Helena,,185,#aaaaaa
Saint Lucia,,549,#aaaaaa
Samoa,,2692,#aaaaaa
San Marino,,68,#aaaaaa
Sao Tome and Principe,,981,#aaaaaa
Saudi Arabia,,1921560,#aaaaaa
Senegal,,196609,#aaaaaa
Serbia,,77648,#aaaaaa
Seychelles,,174,#aaaaaa
Siachen Glacier,,2118,#aaaaaa
Sierra Leone,,71576,#aaaaaa
Singapore,,483,#aaaaaa
Sint Maarten,,42,#aaaaaa
Slovakia,,48489,#aaaaaa
Slovenia,,20245,#aaaaaa
Solomon Is.,,25633,#aaaaaa
Somalia,,471551,#aaaaaa
Somaliland,,167803,#aaaaaa
South Africa,,1220039,#aaaaaa
South Korea,,97174,#aaaaaa
Spain,,506731,#aaaaaa
Sri Lanka,,65763,#aaaaaa
St-Barthelemy,,24,#aaaaaa
St-Martin,,49,#aaaaaa
St. Kitts and Nevis,,232,#aaaaaa
St. Pierre and Miquelon,,206,#aaaaaa
St. Vin. and Gren.,,310,#aaaaaa
Sudan,,1856670,#aaaaaa
Suriname,,144934,#aaaaaa
Sweden,,445653,#aaaaaa
Switzerland,,41316,#aaaaaa
Syria,,185728,#aaaaaa
Taiwan,,35911,#aaaaaa
Tajikistan,,142396,#aaaaaa
Tanzania,,941734,#aaaaaa
Thailand,,513909,#aaaaaa
Timor-Leste,,14958,#aaaaaa
Togo,,56901,#aaaaaa
Tonga,,430,#aaaaaa
Trinidad and Tobago,,5082,#aaaaaa
Tunisia,,156616,#aaaaaa
Turkey,,780464,#aaaaaa
Turkmenistan,,471028,#aaaaaa
Turks and Caicos Is.,,329,#aaaaaa
U.S. Virgin Is.,,315,#aaaaaa
Uganda,,241474,#aaaaaa
Ukraine,,571975,#aaaaaa
United Arab Emirates,,71114,#aaaaaa
United Kingdom,,240642,#aaaaaa
United States of America,,9455756,#aaaaaa
Uruguay,,177464,#aaaaaa
Uzbekistan,,448022,#aaaaaa
Vanuatu,,11254,#aaaaaa
Vatican,,1,#aaaaaa
Venezuela,,910440,#aaaaaa
Vietnam,,327849,#aaaaaa
W. Sahara,,90593,#aaaaaa
Wallis and Futuna Is.,,131,#aaaaaa
Yemen,,452565,#aaaaaa
Zambia,,752774,#aaaaaa
Zimbabwe,,388994,#aaaaaa
